Subject,Start Date,Start Time,End Time
Community Period,1/12/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,1/12/2022,10:30 AM,11:50 AM
Lunch A,1/12/2022,11:55 AM,12:35 PM
Woodworking II*,1/12/2022,12:40 PM,1:55 PM
Free Period (D Block),1/12/2022,2:00 PM,3:15 PM
Calculus I*,1/19/2022,8:30 AM,9:45 AM
Community Period,1/19/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,1/19/2022,10:30 AM,11:50 AM
Lunch A,1/19/2022,11:55 AM,12:35 PM
Woodworking II*,1/19/2022,12:40 PM,1:55 PM
Free Period (D Block),1/19/2022,2:00 PM,3:15 PM
Calculus I*,1/25/2022,8:30 AM,9:45 AM
Community Period,1/25/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,1/25/2022,10:30 AM,11:50 AM
Lunch A,1/25/2022,11:55 AM,12:35 PM
Woodworking II*,1/25/2022,12:40 PM,1:55 PM
Free Period (D Block),1/25/2022,2:00 PM,3:15 PM
Calculus I*,1/31/2022,8:30 AM,9:45 AM
Community Period,1/31/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,1/31/2022,10:30 AM,11:50 AM
Lunch A,1/31/2022,11:55 AM,12:35 PM
Woodworking II*,1/31/2022,12:40 PM,1:55 PM
Free Period (D Block),1/31/2022,2:00 PM,3:15 PM
Calculus I*,2/04/2022,8:30 AM,9:45 AM
Community Period,2/04/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,2/04/2022,10:30 AM,11:50 AM
Lunch A,2/04/2022,11:55 AM,12:35 PM
Woodworking II*,2/04/2022,12:40 PM,1:55 PM
Free Period (D Block),2/04/2022,2:00 PM,3:15 PM
Calculus I*,2/10/2022,8:30 AM,9:45 AM
Community Period,2/10/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,2/10/2022,10:30 AM,11:50 AM
Lunch A,2/10/2022,11:55 AM,12:35 PM
Woodworking II*,2/10/2022,12:40 PM,1:55 PM
Free Period (D Block),2/10/2022,2:00 PM,3:15 PM
Calculus I*,2/16/2022,8:30 AM,9:45 AM
Community Period,2/16/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,2/16/2022,10:30 AM,11:50 AM
Lunch A,2/16/2022,11:55 AM,12:35 PM
Woodworking II*,2/16/2022,12:40 PM,1:55 PM
Free Period (D Block),2/16/2022,2:00 PM,3:15 PM
Calculus I*,2/24/2022,8:30 AM,9:45 AM
Community Period,2/24/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,2/24/2022,10:30 AM,11:50 AM
Lunch A,2/24/2022,11:55 AM,12:35 PM
Woodworking II*,2/24/2022,12:40 PM,1:55 PM
Free Period (D Block),2/24/2022,2:00 PM,3:15 PM
Calculus I*,3/02/2022,8:30 AM,9:45 AM
Community Period,3/02/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,3/02/2022,10:30 AM,11:50 AM
Lunch A,3/02/2022,11:55 AM,12:35 PM
Woodworking II*,3/02/2022,12:40 PM,1:55 PM
Free Period (D Block),3/02/2022,2:00 PM,3:15 PM
Calculus I*,3/08/2022,8:30 AM,9:45 AM
Community Period,3/08/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,3/08/2022,10:30 AM,11:50 AM
Lunch A,3/08/2022,11:55 AM,12:35 PM
Woodworking II*,3/08/2022,12:40 PM,1:55 PM
Free Period (D Block),3/08/2022,2:00 PM,3:15 PM
Calculus I*,3/14/2022,8:30 AM,9:45 AM
Community Period,3/14/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,3/14/2022,10:30 AM,11:50 AM
Lunch A,3/14/2022,11:55 AM,12:35 PM
Woodworking II*,3/14/2022,12:40 PM,1:55 PM
Free Period (D Block),3/14/2022,2:00 PM,3:15 PM
Calculus I*,3/18/2022,8:30 AM,9:45 AM
Community Period,3/18/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,3/18/2022,10:30 AM,11:50 AM
Lunch A,3/18/2022,11:55 AM,12:35 PM
Woodworking II*,3/18/2022,12:40 PM,1:55 PM
Free Period (D Block),3/18/2022,2:00 PM,3:15 PM
Calculus I*,4/04/2022,8:30 AM,9:45 AM
Community Period,4/04/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,4/04/2022,10:30 AM,11:50 AM
Lunch A,4/04/2022,11:55 AM,12:35 PM
Woodworking II*,4/04/2022,12:40 PM,1:55 PM
Free Period (D Block),4/04/2022,2:00 PM,3:15 PM
Calculus I*,4/08/2022,8:30 AM,9:45 AM
Community Period,4/08/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,4/08/2022,10:30 AM,11:50 AM
Lunch A,4/08/2022,11:55 AM,12:35 PM
Woodworking II*,4/08/2022,12:40 PM,1:55 PM
Free Period (D Block),4/08/2022,2:00 PM,3:15 PM
Calculus I*,4/14/2022,8:30 AM,9:45 AM
Community Period,4/14/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,4/14/2022,10:30 AM,11:50 AM
Lunch A,4/14/2022,11:55 AM,12:35 PM
Woodworking II*,4/14/2022,12:40 PM,1:55 PM
Free Period (D Block),4/14/2022,2:00 PM,3:15 PM
Calculus I*,4/22/2022,8:30 AM,9:45 AM
Community Period,4/22/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,4/22/2022,10:30 AM,11:50 AM
Lunch A,4/22/2022,11:55 AM,12:35 PM
Woodworking II*,4/22/2022,12:40 PM,1:55 PM
Free Period (D Block),4/22/2022,2:00 PM,3:15 PM
Calculus I*,4/28/2022,8:30 AM,9:45 AM
Community Period,4/28/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,4/28/2022,10:30 AM,11:50 AM
Lunch A,4/28/2022,11:55 AM,12:35 PM
Woodworking II*,4/28/2022,12:40 PM,1:55 PM
Free Period (D Block),4/28/2022,2:00 PM,3:15 PM
Calculus I*,5/04/2022,8:30 AM,9:45 AM
Community Period,5/04/2022,9:50 AM,10:30 AM
