Subject,Start Date,Start Time,End Time
Woodworking II*,5/23/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),5/23/2022,11:55 AM,1:55 PM
Calculus I*,5/23/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,5/27/2022,8:30 AM,9:45 AM
Community Period,5/27/2022,9:50 AM,10:30 AM
Woodworking II*,5/27/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),5/27/2022,11:55 AM,1:55 PM
Calculus I*,5/27/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,6/03/2022,8:30 AM,9:45 AM
Community Period,6/03/2022,9:50 AM,10:30 AM
Woodworking II*,6/03/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),6/03/2022,11:55 AM,1:55 PM
Calculus I*,6/03/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,6/09/2022,8:30 AM,9:45 AM
Community Period,6/09/2022,9:50 AM,10:30 AM
Woodworking II*,6/09/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),6/09/2022,11:55 AM,1:55 PM
Calculus I*,6/09/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,6/15/2022,8:30 AM,9:45 AM
Community Period,6/15/2022,9:50 AM,10:30 AM
Woodworking II*,6/15/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),6/15/2022,11:55 AM,1:55 PM
Calculus I*,6/15/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,6/21/2022,8:30 AM,9:45 AM
Community Period,6/21/2022,9:50 AM,10:30 AM
Woodworking II*,6/21/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),6/21/2022,11:55 AM,1:55 PM
Calculus I*,6/21/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,6/27/2022,8:30 AM,9:45 AM
Community Period,6/27/2022,9:50 AM,10:30 AM
Woodworking II*,6/27/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),6/27/2022,11:55 AM,1:55 PM
Calculus I*,6/27/2022,2:00 PM,3:15 PM
Woodworking II*,9/09/2021,9:00 AM,10:15 AM
Break,9/09/2021,10:15 AM,10:30 AM
Free Period (D Block),9/09/2021,10:35 AM,11:50 AM
Calculus I*,9/09/2021,11:55 AM,1:10 PM
Lunch B,9/09/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,9/09/2021,2:00 PM,3:15 PM
Woodworking II*,9/15/2021,8:30 AM,9:45 AM
Community Period,9/15/2021,9:50 AM,10:30 AM
Free Period (D Block),9/15/2021,10:30 AM,11:50 AM
Calculus I*,9/15/2021,11:55 AM,1:10 PM
Lunch B,9/15/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,9/15/2021,2:00 PM,3:15 PM
Woodworking II*,9/22/2021,8:30 AM,9:45 AM
Community Period,9/22/2021,9:50 AM,10:30 AM
Free Period (D Block),9/22/2021,10:30 AM,11:50 AM
Calculus I*,9/22/2021,11:55 AM,1:10 PM
Lunch B,9/22/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,9/22/2021,2:00 PM,3:15 PM
Woodworking II*,9/28/2021,8:30 AM,9:45 AM
Community Period,9/28/2021,9:50 AM,10:30 AM
Free Period (D Block),9/28/2021,10:30 AM,11:50 AM
Calculus I*,9/28/2021,11:55 AM,1:10 PM
Lunch B,9/28/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,9/28/2021,2:00 PM,3:15 PM
Woodworking II*,10/04/2021,8:30 AM,9:45 AM
Community Period,10/04/2021,9:50 AM,10:30 AM
Free Period (D Block),10/04/2021,10:30 AM,11:50 AM
Calculus I*,10/04/2021,11:55 AM,1:10 PM
Lunch B,10/04/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,10/04/2021,2:00 PM,3:15 PM
Woodworking II*,10/08/2021,8:30 AM,9:45 AM
Community Period,10/08/2021,9:50 AM,10:30 AM
Free Period (D Block),10/08/2021,10:30 AM,11:50 AM
Calculus I*,10/08/2021,11:55 AM,1:10 PM
Lunch B,10/08/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,10/08/2021,2:00 PM,3:15 PM
Woodworking II*,10/14/2021,9:00 AM,10:15 AM
Break,10/14/2021,10:15 AM,10:30 AM
Free Period (D Block),10/14/2021,10:35 AM,11:50 AM
Calculus I*,10/14/2021,11:55 AM,1:10 PM
Lunch B,10/14/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,10/14/2021,2:00 PM,3:15 PM
Woodworking II*,10/20/2021,8:30 AM,9:45 AM
Community Period,10/20/2021,9:50 AM,10:30 AM
Free Period (D Block),10/20/2021,10:30 AM,11:50 AM
Calculus I*,10/20/2021,11:55 AM,1:10 PM
Lunch B,10/20/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,10/20/2021,2:00 PM,3:15 PM
Woodworking II*,10/27/2021,8:30 AM,9:45 AM
Community Period,10/27/2021,9:50 AM,10:30 AM
Free Period (D Block),10/27/2021,10:30 AM,11:50 AM
Calculus I*,10/27/2021,11:55 AM,1:10 PM
Lunch B,10/27/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,10/27/2021,2:00 PM,3:15 PM
Woodworking II*,11/02/2021,8:30 AM,9:45 AM
Community Period,11/02/2021,9:50 AM,10:30 AM
Free Period (D Block),11/02/2021,10:30 AM,11:50 AM
Calculus I*,11/02/2021,11:55 AM,1:10 PM
Lunch B,11/02/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,11/02/2021,2:00 PM,3:15 PM
Woodworking II*,11/08/2021,8:30 AM,9:45 AM
Community Period,11/08/2021,9:50 AM,10:30 AM
Free Period (D Block),11/08/2021,10:30 AM,11:50 AM
Calculus I*,11/08/2021,11:55 AM,1:10 PM
Lunch B,11/08/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,11/08/2021,2:00 PM,3:15 PM
Woodworking II*,11/12/2021,9:00 AM,10:15 AM
Break,11/12/2021,10:15 AM,10:30 AM
Free Period (D Block),11/12/2021,10:35 AM,11:50 AM
Calculus I*,11/12/2021,11:55 AM,1:10 PM
Lunch B,11/12/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,11/12/2021,2:00 PM,3:15 PM
Woodworking II*,11/19/2021,9:00 AM,10:15 AM
Break,11/19/2021,10:15 AM,10:30 AM
Free Period (D Block),11/19/2021,10:35 AM,11:50 AM
Calculus I*,11/19/2021,11:55 AM,1:10 PM
Lunch B,11/19/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,11/19/2021,2:00 PM,3:15 PM
Woodworking II*,11/30/2021,8:30 AM,9:45 AM
Community Period,11/30/2021,9:50 AM,10:30 AM
Free Period (D Block),11/30/2021,10:30 AM,11:50 AM
Calculus I*,11/30/2021,11:55 AM,1:10 PM
Lunch B,11/30/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,11/30/2021,2:00 PM,3:15 PM
Woodworking II*,12/06/2021,8:30 AM,9:45 AM
Community Period,12/06/2021,9:50 AM,10:30 AM
Free Period (D Block),12/06/2021,10:30 AM,11:50 AM
Calculus I*,12/06/2021,11:55 AM,1:10 PM
Lunch B,12/06/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,12/06/2021,2:00 PM,3:15 PM
Woodworking II*,12/10/2021,9:00 AM,10:15 AM
Break,12/10/2021,10:15 AM,10:30 AM
Free Period (D Block),12/10/2021,10:35 AM,11:50 AM
Calculus I*,12/10/2021,11:55 AM,1:10 PM
Lunch B,12/10/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,12/10/2021,2:00 PM,3:15 PM
Woodworking II*,12/16/2021,8:30 AM,9:45 AM
Community Period,12/16/2021,9:50 AM,10:30 AM
Free Period (D Block),12/16/2021,10:30 AM,11:50 AM
Calculus I*,12/16/2021,11:55 AM,1:10 PM
Lunch B,12/16/2021,1:15 PM,1:55 PM
Finance: Portfolio Analysis,12/16/2021,2:00 PM,3:15 PM
Woodworking II*,1/06/2022,8:30 AM,9:45 AM
Community Period,1/06/2022,9:50 AM,10:30 AM
Free Period (D Block),1/06/2022,10:30 AM,11:50 AM
Calculus I*,1/06/2022,11:55 AM,1:10 PM
Lunch B,1/06/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,1/06/2022,2:00 PM,3:15 PM
Woodworking II*,1/12/2022,8:30 AM,9:45 AM
Community Period,1/12/2022,9:50 AM,10:30 AM
Free Period (D Block),1/12/2022,10:30 AM,11:50 AM
Calculus I*,1/12/2022,11:55 AM,1:10 PM
Lunch B,1/12/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,1/12/2022,2:00 PM,3:15 PM
Woodworking II*,1/19/2022,8:30 AM,9:45 AM
Community Period,1/19/2022,9:50 AM,10:30 AM
Free Period (D Block),1/19/2022,10:30 AM,11:50 AM
Calculus I*,1/19/2022,11:55 AM,1:10 PM
Lunch B,1/19/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,1/19/2022,2:00 PM,3:15 PM
Woodworking II*,1/25/2022,8:30 AM,9:45 AM
Community Period,1/25/2022,9:50 AM,10:30 AM
Free Period (D Block),1/25/2022,10:30 AM,11:50 AM
Calculus I*,1/25/2022,11:55 AM,1:10 PM
Lunch B,1/25/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,1/25/2022,2:00 PM,3:15 PM
Woodworking II*,1/31/2022,8:30 AM,9:45 AM
Community Period,1/31/2022,9:50 AM,10:30 AM
Free Period (D Block),1/31/2022,10:30 AM,11:50 AM
Calculus I*,1/31/2022,11:55 AM,1:10 PM
Lunch B,1/31/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,1/31/2022,2:00 PM,3:15 PM
Woodworking II*,2/04/2022,8:30 AM,9:45 AM
Community Period,2/04/2022,9:50 AM,10:30 AM
Free Period (D Block),2/04/2022,10:30 AM,11:50 AM
Calculus I*,2/04/2022,11:55 AM,1:10 PM
Lunch B,2/04/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,2/04/2022,2:00 PM,3:15 PM
Woodworking II*,2/10/2022,8:30 AM,9:45 AM
Community Period,2/10/2022,9:50 AM,10:30 AM
Free Period (D Block),2/10/2022,10:30 AM,11:50 AM
Calculus I*,2/10/2022,11:55 AM,1:10 PM
Lunch B,2/10/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,2/10/2022,2:00 PM,3:15 PM
Woodworking II*,2/16/2022,8:30 AM,9:45 AM
Community Period,2/16/2022,9:50 AM,10:30 AM
Free Period (D Block),2/16/2022,10:30 AM,11:50 AM
Calculus I*,2/16/2022,11:55 AM,1:10 PM
Lunch B,2/16/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,2/16/2022,2:00 PM,3:15 PM
Woodworking II*,2/24/2022,8:30 AM,9:45 AM
Community Period,2/24/2022,9:50 AM,10:30 AM
Free Period (D Block),2/24/2022,10:30 AM,11:50 AM
Calculus I*,2/24/2022,11:55 AM,1:10 PM
Lunch B,2/24/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,2/24/2022,2:00 PM,3:15 PM
Woodworking II*,3/02/2022,8:30 AM,9:45 AM
Community Period,3/02/2022,9:50 AM,10:30 AM
Free Period (D Block),3/02/2022,10:30 AM,11:50 AM
Calculus I*,3/02/2022,11:55 AM,1:10 PM
Lunch B,3/02/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,3/02/2022,2:00 PM,3:15 PM
Woodworking II*,3/08/2022,8:30 AM,9:45 AM
Community Period,3/08/2022,9:50 AM,10:30 AM
Free Period (D Block),3/08/2022,10:30 AM,11:50 AM
Calculus I*,3/08/2022,11:55 AM,1:10 PM
Lunch B,3/08/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,3/08/2022,2:00 PM,3:15 PM
Woodworking II*,3/14/2022,8:30 AM,9:45 AM
Community Period,3/14/2022,9:50 AM,10:30 AM
Free Period (D Block),3/14/2022,10:30 AM,11:50 AM
Calculus I*,3/14/2022,11:55 AM,1:10 PM
Lunch B,3/14/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,3/14/2022,2:00 PM,3:15 PM
Woodworking II*,3/18/2022,8:30 AM,9:45 AM
Community Period,3/18/2022,9:50 AM,10:30 AM
Free Period (D Block),3/18/2022,10:30 AM,11:50 AM
Calculus I*,3/18/2022,11:55 AM,1:10 PM
Lunch B,3/18/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,3/18/2022,2:00 PM,3:15 PM
Woodworking II*,4/04/2022,8:30 AM,9:45 AM
Community Period,4/04/2022,9:50 AM,10:30 AM
Free Period (D Block),4/04/2022,10:30 AM,11:50 AM
Calculus I*,4/04/2022,11:55 AM,1:10 PM
Lunch B,4/04/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,4/04/2022,2:00 PM,3:15 PM
Woodworking II*,4/08/2022,8:30 AM,9:45 AM
Community Period,4/08/2022,9:50 AM,10:30 AM
Free Period (D Block),4/08/2022,10:30 AM,11:50 AM
Calculus I*,4/08/2022,11:55 AM,1:10 PM
Lunch B,4/08/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,4/08/2022,2:00 PM,3:15 PM
Woodworking II*,4/14/2022,8:30 AM,9:45 AM
Community Period,4/14/2022,9:50 AM,10:30 AM
Free Period (D Block),4/14/2022,10:30 AM,11:50 AM
Calculus I*,4/14/2022,11:55 AM,1:10 PM
Lunch B,4/14/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,4/14/2022,2:00 PM,3:15 PM
Woodworking II*,4/22/2022,8:30 AM,9:45 AM
Community Period,4/22/2022,9:50 AM,10:30 AM
Free Period (D Block),4/22/2022,10:30 AM,11:50 AM
Calculus I*,4/22/2022,11:55 AM,1:10 PM
Lunch B,4/22/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,4/22/2022,2:00 PM,3:15 PM
Woodworking II*,4/28/2022,8:30 AM,9:45 AM
Community Period,4/28/2022,9:50 AM,10:30 AM
Free Period (D Block),4/28/2022,10:30 AM,11:50 AM
Calculus I*,4/28/2022,11:55 AM,1:10 PM
Lunch B,4/28/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,4/28/2022,2:00 PM,3:15 PM
Woodworking II*,5/04/2022,8:30 AM,9:45 AM
Community Period,5/04/2022,9:50 AM,10:30 AM
Free Period (D Block),5/04/2022,10:30 AM,11:50 AM
Calculus I*,5/04/2022,11:55 AM,1:10 PM
Lunch B,5/04/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,5/04/2022,2:00 PM,3:15 PM
Woodworking II*,5/10/2022,8:30 AM,9:45 AM
Community Period,5/10/2022,9:50 AM,10:30 AM
Free Period (D Block),5/10/2022,10:30 AM,11:50 AM
Calculus I*,5/10/2022,11:55 AM,1:10 PM
Lunch B,5/10/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,5/10/2022,2:00 PM,3:15 PM
Woodworking II*,5/16/2022,8:30 AM,9:45 AM
Community Period,5/16/2022,9:50 AM,10:30 AM
Free Period (D Block),5/16/2022,10:30 AM,11:50 AM
Calculus I*,5/16/2022,11:55 AM,1:10 PM
Lunch B,5/16/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,5/16/2022,2:00 PM,3:15 PM
Woodworking II*,5/20/2022,8:30 AM,9:45 AM
Community Period,5/20/2022,9:50 AM,10:30 AM
Free Period (D Block),5/20/2022,10:30 AM,11:50 AM
Calculus I*,5/20/2022,11:55 AM,1:10 PM
Lunch B,5/20/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,5/20/2022,2:00 PM,3:15 PM
Woodworking II*,5/26/2022,8:30 AM,9:45 AM
Community Period,5/26/2022,9:50 AM,10:30 AM
Free Period (D Block),5/26/2022,10:30 AM,11:50 AM
Calculus I*,5/26/2022,11:55 AM,1:10 PM
Lunch B,5/26/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,5/26/2022,2:00 PM,3:15 PM
Woodworking II*,6/02/2022,8:30 AM,9:45 AM
Community Period,6/02/2022,9:50 AM,10:30 AM
Free Period (D Block),6/02/2022,10:30 AM,11:50 AM
Calculus I*,6/02/2022,11:55 AM,1:10 PM
Lunch B,6/02/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,6/02/2022,2:00 PM,3:15 PM
Woodworking II*,6/08/2022,8:30 AM,9:45 AM
Community Period,6/08/2022,9:50 AM,10:30 AM
Free Period (D Block),6/08/2022,10:30 AM,11:50 AM
Calculus I*,6/08/2022,11:55 AM,1:10 PM
Lunch B,6/08/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,6/08/2022,2:00 PM,3:15 PM
Woodworking II*,6/14/2022,8:30 AM,9:45 AM
Community Period,6/14/2022,9:50 AM,10:30 AM
Free Period (D Block),6/14/2022,10:30 AM,11:50 AM
Calculus I*,6/14/2022,11:55 AM,1:10 PM
Lunch B,6/14/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,6/14/2022,2:00 PM,3:15 PM
Woodworking II*,6/20/2022,8:30 AM,9:45 AM
Community Period,6/20/2022,9:50 AM,10:30 AM
Free Period (D Block),6/20/2022,10:30 AM,11:50 AM
Calculus I*,6/20/2022,11:55 AM,1:10 PM
Lunch B,6/20/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,6/20/2022,2:00 PM,3:15 PM
Woodworking II*,6/24/2022,8:30 AM,9:45 AM
Community Period,6/24/2022,9:50 AM,10:30 AM
Free Period (D Block),6/24/2022,10:30 AM,11:50 AM
Calculus I*,6/24/2022,11:55 AM,1:10 PM
Lunch B,6/24/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,6/24/2022,2:00 PM,3:15 PM
Woodworking II*,6/30/2022,8:30 AM,9:45 AM
Community Period,6/30/2022,9:50 AM,10:30 AM
Free Period (D Block),6/30/2022,10:30 AM,11:50 AM
Calculus I*,6/30/2022,11:55 AM,1:10 PM
Lunch B,6/30/2022,1:15 PM,1:55 PM
Finance: Portfolio Analysis,6/30/2022,2:00 PM,3:15 PM
Free Period (D Block),9/09/2021,9:00 AM,10:15 AM
Break,9/09/2021,10:15 AM,10:30 AM
Calculus I*,9/09/2021,10:35 AM,11:50 AM
Finance: Portfolio Analysis,9/09/2021,11:55 AM,1:10 PM
Lunch B,9/09/2021,1:15 PM,1:55 PM
Woodworking II*),9/09/2021,2:00 PM,3:15 PM
Free Period (D Block),9/15/2021,8:30 AM,9:45 AM
Community Period,9/15/2021,9:50 AM,10:30 AM
Calculus I*,9/15/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,9/15/2021,11:55 AM,1:10 PM
Lunch B,9/15/2021,1:15 PM,1:55 PM
Woodworking II*),9/15/2021,2:00 PM,3:15 PM
Free Period (D Block),9/22/2021,8:30 AM,9:45 AM
Community Period,9/22/2021,9:50 AM,10:30 AM
Calculus I*,9/22/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,9/22/2021,11:55 AM,1:10 PM
Lunch B,9/22/2021,1:15 PM,1:55 PM
Woodworking II*),9/22/2021,2:00 PM,3:15 PM
Free Period (D Block),9/28/2021,8:30 AM,9:45 AM
Community Period,9/28/2021,9:50 AM,10:30 AM
Calculus I*,9/28/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,9/28/2021,11:55 AM,1:10 PM
Lunch B,9/28/2021,1:15 PM,1:55 PM
Woodworking II*),9/28/2021,2:00 PM,3:15 PM
Free Period (D Block),10/04/2021,8:30 AM,9:45 AM
Community Period,10/04/2021,9:50 AM,10:30 AM
Calculus I*,10/04/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,10/04/2021,11:55 AM,1:10 PM
Lunch B,10/04/2021,1:15 PM,1:55 PM
Woodworking II*),10/04/2021,2:00 PM,3:15 PM
Free Period (D Block),10/08/2021,8:30 AM,9:45 AM
Community Period,10/08/2021,9:50 AM,10:30 AM
Calculus I*,10/08/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,10/08/2021,11:55 AM,1:10 PM
Lunch B,10/08/2021,1:15 PM,1:55 PM
Woodworking II*),10/08/2021,2:00 PM,3:15 PM
Free Period (D Block),10/14/2021,9:00 AM,10:15 AM
Break,10/14/2021,10:15 AM,10:30 AM
Calculus I*,10/14/2021,10:35 AM,11:50 AM
Finance: Portfolio Analysis,10/14/2021,11:55 AM,1:10 PM
Lunch B,10/14/2021,1:15 PM,1:55 PM
Woodworking II*),10/14/2021,2:00 PM,3:15 PM
Free Period (D Block),10/20/2021,8:30 AM,9:45 AM
Community Period,10/20/2021,9:50 AM,10:30 AM
Calculus I*,10/20/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,10/20/2021,11:55 AM,1:10 PM
Lunch B,10/20/2021,1:15 PM,1:55 PM
Woodworking II*),10/20/2021,2:00 PM,3:15 PM
Free Period (D Block),10/27/2021,8:30 AM,9:45 AM
Community Period,10/27/2021,9:50 AM,10:30 AM
Calculus I*,10/27/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,10/27/2021,11:55 AM,1:10 PM
Lunch B,10/27/2021,1:15 PM,1:55 PM
Woodworking II*),10/27/2021,2:00 PM,3:15 PM
Free Period (D Block),11/02/2021,8:30 AM,9:45 AM
Community Period,11/02/2021,9:50 AM,10:30 AM
Calculus I*,11/02/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,11/02/2021,11:55 AM,1:10 PM
Lunch B,11/02/2021,1:15 PM,1:55 PM
Woodworking II*),11/02/2021,2:00 PM,3:15 PM
Free Period (D Block),11/08/2021,8:30 AM,9:45 AM
Community Period,11/08/2021,9:50 AM,10:30 AM
Calculus I*,11/08/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,11/08/2021,11:55 AM,1:10 PM
Lunch B,11/08/2021,1:15 PM,1:55 PM
Woodworking II*),11/08/2021,2:00 PM,3:15 PM
Free Period (D Block),11/12/2021,9:00 AM,10:15 AM
Break,11/12/2021,10:15 AM,10:30 AM
Calculus I*,11/12/2021,10:35 AM,11:50 AM
Finance: Portfolio Analysis,11/12/2021,11:55 AM,1:10 PM
Lunch B,11/12/2021,1:15 PM,1:55 PM
Woodworking II*),11/12/2021,2:00 PM,3:15 PM
Free Period (D Block),11/19/2021,9:00 AM,10:15 AM
Break,11/19/2021,10:15 AM,10:30 AM
Calculus I*,11/19/2021,10:35 AM,11:50 AM
Finance: Portfolio Analysis,11/19/2021,11:55 AM,1:10 PM
Lunch B,11/19/2021,1:15 PM,1:55 PM
Woodworking II*),11/19/2021,2:00 PM,3:15 PM
Free Period (D Block),11/30/2021,8:30 AM,9:45 AM
Community Period,11/30/2021,9:50 AM,10:30 AM
Calculus I*,11/30/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,11/30/2021,11:55 AM,1:10 PM
Lunch B,11/30/2021,1:15 PM,1:55 PM
Woodworking II*),11/30/2021,2:00 PM,3:15 PM
Free Period (D Block),12/06/2021,8:30 AM,9:45 AM
Community Period,12/06/2021,9:50 AM,10:30 AM
Calculus I*,12/06/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,12/06/2021,11:55 AM,1:10 PM
Lunch B,12/06/2021,1:15 PM,1:55 PM
Woodworking II*),12/06/2021,2:00 PM,3:15 PM
Free Period (D Block),12/10/2021,9:00 AM,10:15 AM
Break,12/10/2021,10:15 AM,10:30 AM
Calculus I*,12/10/2021,10:35 AM,11:50 AM
Finance: Portfolio Analysis,12/10/2021,11:55 AM,1:10 PM
Lunch B,12/10/2021,1:15 PM,1:55 PM
Woodworking II*),12/10/2021,2:00 PM,3:15 PM
Free Period (D Block),12/16/2021,8:30 AM,9:45 AM
Community Period,12/16/2021,9:50 AM,10:30 AM
Calculus I*,12/16/2021,10:30 AM,11:50 AM
Finance: Portfolio Analysis,12/16/2021,11:55 AM,1:10 PM
Lunch B,12/16/2021,1:15 PM,1:55 PM
Woodworking II*),12/16/2021,2:00 PM,3:15 PM
Free Period (D Block),1/06/2022,8:30 AM,9:45 AM
Community Period,1/06/2022,9:50 AM,10:30 AM
Calculus I*,1/06/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,1/06/2022,11:55 AM,1:10 PM
Lunch B,1/06/2022,1:15 PM,1:55 PM
Woodworking II*),1/06/2022,2:00 PM,3:15 PM
Free Period (D Block),1/12/2022,8:30 AM,9:45 AM
Community Period,1/12/2022,9:50 AM,10:30 AM
Calculus I*,1/12/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,1/12/2022,11:55 AM,1:10 PM
Lunch B,1/12/2022,1:15 PM,1:55 PM
Woodworking II*),1/12/2022,2:00 PM,3:15 PM
Free Period (D Block),1/19/2022,8:30 AM,9:45 AM
Community Period,1/19/2022,9:50 AM,10:30 AM
Calculus I*,1/19/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,1/19/2022,11:55 AM,1:10 PM
Lunch B,1/19/2022,1:15 PM,1:55 PM
Woodworking II*),1/19/2022,2:00 PM,3:15 PM
Free Period (D Block),1/25/2022,8:30 AM,9:45 AM
Community Period,1/25/2022,9:50 AM,10:30 AM
Calculus I*,1/25/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,1/25/2022,11:55 AM,1:10 PM
Lunch B,1/25/2022,1:15 PM,1:55 PM
Woodworking II*),1/25/2022,2:00 PM,3:15 PM
Free Period (D Block),1/31/2022,8:30 AM,9:45 AM
Community Period,1/31/2022,9:50 AM,10:30 AM
Calculus I*,1/31/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,1/31/2022,11:55 AM,1:10 PM
Lunch B,1/31/2022,1:15 PM,1:55 PM
Woodworking II*),1/31/2022,2:00 PM,3:15 PM
Free Period (D Block),2/04/2022,8:30 AM,9:45 AM
Community Period,2/04/2022,9:50 AM,10:30 AM
Calculus I*,2/04/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,2/04/2022,11:55 AM,1:10 PM
Lunch B,2/04/2022,1:15 PM,1:55 PM
Woodworking II*),2/04/2022,2:00 PM,3:15 PM
Free Period (D Block),2/10/2022,8:30 AM,9:45 AM
Community Period,2/10/2022,9:50 AM,10:30 AM
Calculus I*,2/10/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,2/10/2022,11:55 AM,1:10 PM
Lunch B,2/10/2022,1:15 PM,1:55 PM
Woodworking II*),2/10/2022,2:00 PM,3:15 PM
Free Period (D Block),2/16/2022,8:30 AM,9:45 AM
Community Period,2/16/2022,9:50 AM,10:30 AM
Calculus I*,2/16/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,2/16/2022,11:55 AM,1:10 PM
Lunch B,2/16/2022,1:15 PM,1:55 PM
Woodworking II*),2/16/2022,2:00 PM,3:15 PM
Free Period (D Block),2/24/2022,8:30 AM,9:45 AM
Community Period,2/24/2022,9:50 AM,10:30 AM
Calculus I*,2/24/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,2/24/2022,11:55 AM,1:10 PM
Lunch B,2/24/2022,1:15 PM,1:55 PM
Woodworking II*),2/24/2022,2:00 PM,3:15 PM
Free Period (D Block),3/02/2022,8:30 AM,9:45 AM
Community Period,3/02/2022,9:50 AM,10:30 AM
Calculus I*,3/02/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,3/02/2022,11:55 AM,1:10 PM
Lunch B,3/02/2022,1:15 PM,1:55 PM
Woodworking II*),3/02/2022,2:00 PM,3:15 PM
Free Period (D Block),3/08/2022,8:30 AM,9:45 AM
Community Period,3/08/2022,9:50 AM,10:30 AM
Calculus I*,3/08/2022,10:30 AM,11:50 AM
Finance: Portfolio Analysis,3/08/2022,11:55 AM,1:10 PM
Lunch B,3/08/2022,1:15 PM,1:55 PM
Woodworking II*),3/08/2022,2:00 PM,3:15 PM
Free Period (D Block),3/14/2022,8:30 AM,9:45 AM
